block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.193,128.991,1,1,100.0,35.1935,128.9915,red
35.193,128.996,1,0,0.0,35.1935,128.9965,green
35.193,129.007,8,8,100.0,35.1935,129.0075,red
35.193,129.008,10,10,100.0,35.1935,129.0085,red
35.193,129.00900000000001,14,11,78.57142857142857,35.1935,129.0095,red
35.193,129.01,5,2,40.0,35.1935,129.01049999999998,yellow
35.194,128.99,2,2,100.0,35.194500000000005,128.9905,red
35.194,128.991,45,40,88.88888888888889,35.194500000000005,128.9915,red
35.194,128.992,12,6,50.0,35.194500000000005,128.99249999999998,yellow
35.194,128.993,4,4,100.0,35.194500000000005,128.99349999999998,red
35.194,128.995,1,0,0.0,35.194500000000005,128.9955,green
35.194,128.996,7,0,0.0,35.194500000000005,128.9965,green
35.194,129.00300000000001,18,10,55.55555555555556,35.194500000000005,129.0035,yellow
35.194,129.005,3,2,66.66666666666666,35.194500000000005,129.00549999999998,yellow
35.194,129.006,20,17,85.0,35.194500000000005,129.0065,red
35.194,129.007,30,25,83.33333333333334,35.194500000000005,129.0075,red
35.194,129.008,14,10,71.42857142857143,35.194500000000005,129.0085,red
35.194,129.00900000000001,14,14,100.0,35.194500000000005,129.0095,red
35.194,129.01,19,17,89.47368421052632,35.194500000000005,129.01049999999998,red
35.194,129.011,16,14,87.5,35.194500000000005,129.01149999999998,red
35.194,129.012,11,11,100.0,35.194500000000005,129.0125,red
35.194,129.013,8,8,100.0,35.194500000000005,129.0135,red
35.195,128.988,2,2,100.0,35.1955,128.9885,red
35.195,128.989,5,5,100.0,35.1955,128.9895,red
35.195,128.99,3,3,100.0,35.1955,128.9905,red
35.195,128.991,8,8,100.0,35.1955,128.9915,red
35.195,128.994,7,4,57.14285714285714,35.1955,128.9945,yellow
35.195,128.995,8,8,100.0,35.1955,128.9955,red
35.195,128.996,2,0,0.0,35.1955,128.9965,green
35.195,128.997,2,0,0.0,35.1955,128.9975,green
35.195,129.005,30,24,80.0,35.1955,129.00549999999998,red
