block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.135,129.016,2,2,100.0,35.1355,129.01649999999998,red
35.141,129.03300000000002,44,26,59.09090909090909,35.1415,129.0335,yellow
35.141,129.058,3,2,66.66666666666666,35.1415,129.05849999999998,yellow
35.141,129.059,7,5,71.42857142857143,35.1415,129.05949999999999,red
35.141,129.06,7,5,71.42857142857143,35.1415,129.0605,red
35.141,129.061,7,1,14.285714285714285,35.1415,129.0615,green
35.141,129.062,8,6,75.0,35.1415,129.0625,red
35.141,129.06300000000002,4,0,0.0,35.1415,129.0635,green
35.142,129.05100000000002,8,8,100.0,35.142500000000005,129.0515,red
35.142,129.052,13,11,84.61538461538461,35.142500000000005,129.05249999999998,red
35.142,129.053,34,34,100.0,35.142500000000005,129.05349999999999,red
35.142,129.054,19,18,94.73684210526315,35.142500000000005,129.0545,red
35.142,129.055,24,16,66.66666666666666,35.142500000000005,129.0555,yellow
35.142,129.056,7,4,57.14285714285714,35.142500000000005,129.0565,yellow
35.142,129.05700000000002,31,31,100.0,35.142500000000005,129.0575,red
35.142,129.058,36,28,77.77777777777779,35.142500000000005,129.05849999999998,red
35.142,129.059,37,34,91.8918918918919,35.142500000000005,129.05949999999999,red
35.142,129.06,51,48,94.11764705882352,35.142500000000005,129.0605,red
35.142,129.061,17,17,100.0,35.142500000000005,129.0615,red
35.142,129.062,12,8,66.66666666666666,35.142500000000005,129.0625,yellow
35.142,129.06300000000002,7,6,85.71428571428571,35.142500000000005,129.0635,red
35.143,129.016,4,4,100.0,35.1435,129.01649999999998,red
35.143,129.017,2,2,100.0,35.1435,129.01749999999998,red
35.143,129.018,4,4,100.0,35.1435,129.0185,red
35.143,129.019,2,2,100.0,35.1435,129.0195,red
35.143,129.02,9,9,100.0,35.1435,129.0205,red
35.143,129.028,1,0,0.0,35.1435,129.02849999999998,green
35.143,129.029,2,0,0.0,35.1435,129.02949999999998,green
35.143,129.048,1,1,100.0,35.1435,129.0485,red
