block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.111000000000004,129.03900000000002,6,4,66.66666666666666,35.11150000000001,129.0395,yellow
35.111000000000004,129.04,1,1,100.0,35.11150000000001,129.04049999999998,red
35.111000000000004,129.041,1,1,100.0,35.11150000000001,129.04149999999998,red
35.112,129.036,4,2,50.0,35.112500000000004,129.0365,yellow
35.112,129.037,11,10,90.9090909090909,35.112500000000004,129.0375,red
35.112,129.038,5,3,60.0,35.112500000000004,129.0385,yellow
35.112,129.03900000000002,17,15,88.23529411764706,35.112500000000004,129.0395,red
35.112,129.04,6,5,83.33333333333334,35.112500000000004,129.04049999999998,red
35.113,129.035,1,1,100.0,35.1135,129.03549999999998,red
35.113,129.036,39,31,79.48717948717949,35.1135,129.0365,red
35.113,129.037,21,18,85.71428571428571,35.1135,129.0375,red
35.113,129.038,10,4,40.0,35.1135,129.0385,yellow
35.113,129.03900000000002,12,10,83.33333333333334,35.1135,129.0395,red
35.113,129.04,18,15,83.33333333333334,35.1135,129.04049999999998,red
35.113,129.042,3,3,100.0,35.1135,129.0425,red
35.113,129.043,7,7,100.0,35.1135,129.0435,red
35.114,129.034,18,16,88.88888888888889,35.1145,129.03449999999998,red
35.114,129.035,32,28,87.5,35.1145,129.03549999999998,red
35.114,129.036,32,17,53.125,35.1145,129.0365,yellow
35.114,129.037,32,15,46.875,35.1145,129.0375,yellow
35.114,129.038,20,18,90.0,35.1145,129.0385,red
35.114,129.03900000000002,3,3,100.0,35.1145,129.0395,red
35.114,129.04,3,1,33.33333333333333,35.1145,129.04049999999998,yellow
35.114,129.042,1,1,100.0,35.1145,129.0425,red
35.115,129.032,2,2,100.0,35.115500000000004,129.0325,red
35.115,129.03300000000002,7,6,85.71428571428571,35.115500000000004,129.0335,red
35.115,129.034,23,23,100.0,35.115500000000004,129.03449999999998,red
35.115,129.035,46,37,80.43478260869566,35.115500000000004,129.03549999999998,red
35.115,129.036,22,13,59.09090909090909,35.115500000000004,129.0365,yellow
35.115,129.037,23,15,65.21739130434783,35.115500000000004,129.0375,yellow
35.115,129.038,21,19,90.47619047619048,35.115500000000004,129.0385,red
35.115,129.03900000000002,17,12,70.58823529411765,35.115500000000004,129.0395,red
35.115,129.042,10,1,10.0,35.115500000000004,129.0425,green
35.116,129.03300000000002,18,16,88.88888888888889,35.1165,129.0335,red
35.116,129.034,33,33,100.0,35.1165,129.03449999999998,red
35.116,129.035,36,27,75.0,35.1165,129.03549999999998,red
35.116,129.036,12,12,100.0,35.1165,129.0365,red
35.116,129.037,39,29,74.35897435897436,35.1165,129.0375,red
35.116,129.038,27,20,74.07407407407408,35.1165,129.0385,red
35.116,129.03900000000002,20,11,55.00000000000001,35.1165,129.0395,yellow
35.116,129.04,7,7,100.0,35.1165,129.04049999999998,red
35.116,129.041,13,12,92.3076923076923,35.1165,129.04149999999998,red
35.116,129.042,2,2,100.0,35.1165,129.0425,red
35.117,129.032,7,7,100.0,35.1175,129.0325,red
35.117,129.03300000000002,29,23,79.3103448275862,35.1175,129.0335,red
35.117,129.034,27,25,92.5925925925926,35.1175,129.03449999999998,red
35.117,129.035,59,51,86.4406779661017,35.1175,129.03549999999998,red
35.117,129.036,25,19,76.0,35.1175,129.0365,red
35.117,129.037,26,18,69.23076923076923,35.1175,129.0375,yellow
35.117,129.038,20,17,85.0,35.1175,129.0385,red
35.117,129.03900000000002,26,15,57.692307692307686,35.1175,129.0395,yellow
35.117,129.04,22,16,72.72727272727273,35.1175,129.04049999999998,red
35.117,129.041,11,9,81.81818181818183,35.1175,129.04149999999998,red
35.117,129.042,10,8,80.0,35.1175,129.0425,red
35.118,129.028,24,24,100.0,35.118500000000004,129.02849999999998,red
35.118,129.029,10,10,100.0,35.118500000000004,129.02949999999998,red
35.118,129.03,5,5,100.0,35.118500000000004,129.0305,red
35.118,129.031,18,17,94.44444444444444,35.118500000000004,129.0315,red
35.118,129.032,23,20,86.95652173913044,35.118500000000004,129.0325,red
35.118,129.03300000000002,51,32,62.745098039215684,35.118500000000004,129.0335,yellow
35.118,129.034,42,33,78.57142857142857,35.118500000000004,129.03449999999998,red
35.118,129.035,49,43,87.75510204081633,35.118500000000004,129.03549999999998,red
35.118,129.036,33,23,69.6969696969697,35.118500000000004,129.0365,yellow
35.118,129.037,33,29,87.87878787878788,35.118500000000004,129.0375,red
35.118,129.038,26,22,84.61538461538461,35.118500000000004,129.0385,red
35.118,129.03900000000002,27,22,81.48148148148148,35.118500000000004,129.0395,red
35.118,129.04,14,10,71.42857142857143,35.118500000000004,129.04049999999998,red
35.118,129.041,7,3,42.857142857142854,35.118500000000004,129.04149999999998,yellow
35.118,129.042,14,13,92.85714285714286,35.118500000000004,129.0425,red
35.118,129.043,3,2,66.66666666666666,35.118500000000004,129.0435,yellow
35.119,129.028,4,3,75.0,35.1195,129.02849999999998,red
35.119,129.029,4,3,75.0,35.1195,129.02949999999998,red
35.119,129.03,14,10,71.42857142857143,35.1195,129.0305,red
35.119,129.031,25,22,88.0,35.1195,129.0315,red
