block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.209,129.105,1,1,100.0,35.209500000000006,129.10549999999998,red
35.209,129.106,9,8,88.88888888888889,35.209500000000006,129.10649999999998,red
35.21,129.103,4,4,100.0,35.2105,129.1035,red
35.21,129.104,17,16,94.11764705882352,35.2105,129.1045,red
35.21,129.105,31,27,87.09677419354838,35.2105,129.10549999999998,red
35.21,129.106,47,43,91.48936170212765,35.2105,129.10649999999998,red
35.21,129.107,7,7,100.0,35.2105,129.1075,red
35.211,129.102,34,34,100.0,35.2115,129.1025,red
35.211,129.103,65,65,100.0,35.2115,129.1035,red
35.211,129.104,36,34,94.44444444444444,35.2115,129.1045,red
35.211,129.105,25,25,100.0,35.2115,129.10549999999998,red
35.211,129.106,28,25,89.28571428571429,35.2115,129.10649999999998,red
35.211,129.107,1,1,100.0,35.2115,129.1075,red
35.211,129.108,18,18,100.0,35.2115,129.1085,red
35.211,129.109,1,1,100.0,35.2115,129.1095,red
35.212,129.099,3,0,0.0,35.212500000000006,129.09949999999998,green
35.212,129.1,14,13,92.85714285714286,35.212500000000006,129.10049999999998,red
35.212,129.101,21,21,100.0,35.212500000000006,129.1015,red
35.212,129.102,46,45,97.82608695652173,35.212500000000006,129.1025,red
35.212,129.103,58,57,98.27586206896551,35.212500000000006,129.1035,red
35.212,129.104,40,40,100.0,35.212500000000006,129.1045,red
35.212,129.105,44,44,100.0,35.212500000000006,129.10549999999998,red
35.212,129.106,23,21,91.30434782608695,35.212500000000006,129.10649999999998,red
35.212,129.107,28,16,57.14285714285714,35.212500000000006,129.1075,yellow
35.212,129.108,39,36,92.3076923076923,35.212500000000006,129.1085,red
35.212,129.109,9,9,100.0,35.212500000000006,129.1095,red
35.213,129.099,39,38,97.43589743589743,35.2135,129.09949999999998,red
35.213,129.1,102,98,96.07843137254902,35.2135,129.10049999999998,red
35.213,129.101,56,54,96.42857142857143,35.2135,129.1015,red
35.213,129.102,48,45,93.75,35.2135,129.1025,red
35.213,129.103,44,44,100.0,35.2135,129.1035,red
35.213,129.104,35,35,100.0,35.2135,129.1045,red
35.213,129.105,35,32,91.42857142857143,35.2135,129.10549999999998,red
35.213,129.106,38,35,92.10526315789474,35.2135,129.10649999999998,red
35.213,129.107,19,10,52.63157894736842,35.2135,129.1075,yellow
35.213,129.108,16,14,87.5,35.2135,129.1085,red
35.213,129.109,11,11,100.0,35.2135,129.1095,red
35.213,129.11,9,9,100.0,35.2135,129.1105,red
35.214,129.097,3,2,66.66666666666666,35.2145,129.0975,yellow
35.214,129.098,45,37,82.22222222222221,35.2145,129.0985,red
35.214,129.099,95,92,96.84210526315789,35.2145,129.09949999999998,red
35.214,129.1,126,121,96.03174603174604,35.2145,129.10049999999998,red
35.214,129.101,135,130,96.29629629629629,35.2145,129.1015,red
35.214,129.102,95,91,95.78947368421052,35.2145,129.1025,red
35.214,129.103,21,19,90.47619047619048,35.2145,129.1035,red
35.214,129.104,23,20,86.95652173913044,35.2145,129.1045,red
35.214,129.105,23,21,91.30434782608695,35.2145,129.10549999999998,red
35.214,129.106,28,27,96.42857142857143,35.2145,129.10649999999998,red
35.214,129.107,26,21,80.76923076923077,35.2145,129.1075,red
35.214,129.108,6,3,50.0,35.2145,129.1085,yellow
35.214,129.109,21,16,76.19047619047619,35.2145,129.1095,red
35.214,129.11,10,7,70.0,35.2145,129.1105,red
35.214,129.111,13,13,100.0,35.2145,129.11149999999998,red
35.214,129.112,16,14,87.5,35.2145,129.11249999999998,red
35.214,129.113,9,9,100.0,35.2145,129.1135,red
35.214,129.114,8,8,100.0,35.2145,129.1145,red
35.214,129.115,7,7,100.0,35.2145,129.1155,red
35.214,129.116,4,4,100.0,35.2145,129.1165,red
35.214,129.117,10,7,70.0,35.2145,129.11749999999998,red
35.214,129.118,3,3,100.0,35.2145,129.11849999999998,red
35.215,129.093,3,3,100.0,35.215500000000006,129.09349999999998,red
35.215,129.094,1,1,100.0,35.215500000000006,129.09449999999998,red
35.215,129.095,38,35,92.10526315789474,35.215500000000006,129.0955,red
35.215,129.096,100,93,93.0,35.215500000000006,129.0965,red
35.215,129.097,97,94,96.90721649484536,35.215500000000006,129.0975,red
35.215,129.098,118,113,95.76271186440678,35.215500000000006,129.0985,red
35.215,129.099,112,104,92.85714285714286,35.215500000000006,129.09949999999998,red
35.215,129.1,99,91,91.91919191919192,35.215500000000006,129.10049999999998,red
35.215,129.101,110,100,90.9090909090909,35.215500000000006,129.1015,red
35.215,129.102,48,47,97.91666666666666,35.215500000000006,129.1025,red
35.215,129.103,32,30,93.75,35.215500000000006,129.1035,red
35.215,129.104,42,41,97.61904761904762,35.215500000000006,129.1045,red
35.215,129.105,51,48,94.11764705882352,35.215500000000006,129.10549999999998,red
35.215,129.106,30,21,70.0,35.215500000000006,129.10649999999998,red
35.215,129.107,32,30,93.75,35.215500000000006,129.1075,red
35.215,129.108,23,18,78.26086956521739,35.215500000000006,129.1085,red
35.215,129.109,7,7,100.0,35.215500000000006,129.1095,red
35.215,129.11,11,8,72.72727272727273,35.215500000000006,129.1105,red
35.215,129.111,12,7,58.333333333333336,35.215500000000006,129.11149999999998,yellow
35.215,129.112,11,7,63.63636363636363,35.215500000000006,129.11249999999998,yellow
35.215,129.113,20,16,80.0,35.215500000000006,129.1135,red
35.215,129.114,13,13,100.0,35.215500000000006,129.1145,red
35.215,129.115,17,14,82.35294117647058,35.215500000000006,129.1155,red
35.215,129.116,15,13,86.66666666666667,35.215500000000006,129.1165,red
35.215,129.117,14,5,35.714285714285715,35.215500000000006,129.11749999999998,yellow
35.216,129.093,29,29,100.0,35.2165,129.09349999999998,red
35.216,129.094,47,43,91.48936170212765,35.2165,129.09449999999998,red
35.216,129.095,72,67,93.05555555555556,35.2165,129.0955,red
35.216,129.096,106,100,94.33962264150944,35.2165,129.0965,red
35.216,129.097,95,84,88.42105263157895,35.2165,129.0975,red
35.216,129.098,91,87,95.6043956043956,35.2165,129.0985,red
35.216,129.099,91,80,87.91208791208791,35.2165,129.09949999999998,red
35.216,129.1,104,96,92.3076923076923,35.2165,129.10049999999998,red
35.216,129.101,87,81,93.10344827586206,35.2165,129.1015,red
35.216,129.102,38,35,92.10526315789474,35.2165,129.1025,red
35.216,129.103,36,33,91.66666666666666,35.2165,129.1035,red
35.216,129.104,37,35,94.5945945945946,35.2165,129.1045,red
35.216,129.105,45,42,93.33333333333333,35.2165,129.10549999999998,red
35.216,129.106,43,42,97.67441860465115,35.2165,129.10649999999998,red
35.216,129.107,38,37,97.36842105263158,35.2165,129.1075,red
35.216,129.108,37,33,89.1891891891892,35.2165,129.1085,red
35.216,129.109,29,25,86.20689655172413,35.2165,129.1095,red
35.216,129.11,11,7,63.63636363636363,35.2165,129.1105,yellow
35.216,129.111,5,2,40.0,35.2165,129.11149999999998,yellow
35.216,129.112,5,5,100.0,35.2165,129.11249999999998,red
35.216,129.113,3,3,100.0,35.2165,129.1135,red
35.216,129.114,9,7,77.77777777777779,35.2165,129.1145,red
35.216,129.115,6,6,100.0,35.2165,129.1155,red
35.216,129.116,22,14,63.63636363636363,35.2165,129.1165,yellow
35.216,129.117,16,15,93.75,35.2165,129.11749999999998,red
35.217,129.085,5,3,60.0,35.2175,129.0855,yellow
35.217,129.086,12,10,83.33333333333334,35.2175,129.0865,red
35.217,129.087,13,2,15.384615384615385,35.2175,129.08749999999998,green
35.217,129.088,6,6,100.0,35.2175,129.08849999999998,red
35.217,129.092,7,7,100.0,35.2175,129.0925,red
35.217,129.093,116,112,96.55172413793103,35.2175,129.09349999999998,red
35.217,129.094,98,92,93.87755102040816,35.2175,129.09449999999998,red
35.217,129.095,53,48,90.56603773584906,35.2175,129.0955,red
35.217,129.096,132,123,93.18181818181817,35.2175,129.0965,red
35.217,129.097,108,97,89.81481481481481,35.2175,129.0975,red
35.217,129.098,69,65,94.20289855072464,35.2175,129.0985,red
35.217,129.099,59,56,94.91525423728814,35.2175,129.09949999999998,red
35.217,129.1,48,47,97.91666666666666,35.2175,129.10049999999998,red
35.217,129.101,48,46,95.83333333333334,35.2175,129.1015,red
35.217,129.102,40,35,87.5,35.2175,129.1025,red
35.217,129.103,29,25,86.20689655172413,35.2175,129.1035,red
35.217,129.104,43,42,97.67441860465115,35.2175,129.1045,red
35.217,129.105,50,48,96.0,35.2175,129.10549999999998,red
35.217,129.106,61,60,98.36065573770492,35.2175,129.10649999999998,red
35.217,129.107,60,58,96.66666666666667,35.2175,129.1075,red
35.217,129.108,50,49,98.0,35.2175,129.1085,red
35.217,129.109,22,18,81.81818181818183,35.2175,129.1095,red
35.217,129.11,15,15,100.0,35.2175,129.1105,red
35.217,129.111,12,8,66.66666666666666,35.2175,129.11149999999998,yellow
35.217,129.112,3,3,100.0,35.2175,129.11249999999998,red
35.217,129.113,2,2,100.0,35.2175,129.1135,red
35.217,129.114,5,0,0.0,35.2175,129.1145,green
35.217,129.115,10,3,30.0,35.2175,129.1155,yellow
35.217,129.116,12,8,66.66666666666666,35.2175,129.1165,yellow
35.217,129.117,4,3,75.0,35.2175,129.11749999999998,red
35.218,129.085,7,5,71.42857142857143,35.218500000000006,129.0855,red
35.218,129.086,30,20,66.66666666666666,35.218500000000006,129.0865,yellow
35.218,129.087,28,24,85.71428571428571,35.218500000000006,129.08749999999998,red
35.218,129.088,24,21,87.5,35.218500000000006,129.08849999999998,red
35.218,129.09,13,0,0.0,35.218500000000006,129.0905,green
35.218,129.091,2,1,50.0,35.218500000000006,129.0915,yellow
35.218,129.092,4,3,75.0,35.218500000000006,129.0925,red
35.218,129.093,55,49,89.0909090909091,35.218500000000006,129.09349999999998,red
35.218,129.094,25,25,100.0,35.218500000000006,129.09449999999998,red
35.218,129.095,3,3,100.0,35.218500000000006,129.0955,red
35.218,129.096,2,2,100.0,35.218500000000006,129.0965,red
35.218,129.097,24,23,95.83333333333334,35.218500000000006,129.0975,red
35.218,129.098,50,49,98.0,35.218500000000006,129.0985,red
35.218,129.099,43,42,97.67441860465115,35.218500000000006,129.09949999999998,red
35.218,129.1,42,40,95.23809523809523,35.218500000000006,129.10049999999998,red
35.218,129.101,58,56,96.55172413793103,35.218500000000006,129.1015,red
