block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.182,129.208,4,2,50.0,35.182500000000005,129.2085,yellow
35.182,129.209,2,1,50.0,35.182500000000005,129.2095,yellow
35.182,129.21,1,0,0.0,35.182500000000005,129.2105,green
35.182,129.211,5,1,20.0,35.182500000000005,129.2115,green
35.183,129.208,1,0,0.0,35.1835,129.2085,green
35.183,129.209,10,0,0.0,35.1835,129.2095,green
35.183,129.21,4,1,25.0,35.1835,129.2105,green
35.183,129.211,5,3,60.0,35.1835,129.2115,yellow
35.184,129.209,7,0,0.0,35.1845,129.2095,green
35.184,129.21,9,0,0.0,35.1845,129.2105,green
35.184,129.211,10,1,10.0,35.1845,129.2115,green
35.184,129.212,7,3,42.857142857142854,35.1845,129.21249999999998,yellow
35.184,129.213,1,0,0.0,35.1845,129.21349999999998,green
35.185,129.208,11,0,0.0,35.185500000000005,129.2085,green
35.185,129.209,22,0,0.0,35.185500000000005,129.2095,green
35.185,129.21,12,0,0.0,35.185500000000005,129.2105,green
35.185,129.211,11,5,45.45454545454545,35.185500000000005,129.2115,yellow
35.185,129.212,9,6,66.66666666666666,35.185500000000005,129.21249999999998,yellow
35.186,129.208,3,2,66.66666666666666,35.1865,129.2085,yellow
35.186,129.21,8,0,0.0,35.1865,129.2105,green
35.186,129.211,3,0,0.0,35.1865,129.2115,green
35.186,129.212,1,0,0.0,35.1865,129.21249999999998,green
35.186,129.213,7,1,14.285714285714285,35.1865,129.21349999999998,green
35.186,129.214,1,0,0.0,35.1865,129.2145,green
35.186,129.215,2,0,0.0,35.1865,129.2155,green
35.187,129.209,1,0,0.0,35.1875,129.2095,green
35.187,129.21,23,0,0.0,35.1875,129.2105,green
35.187,129.211,11,0,0.0,35.1875,129.2115,green
35.187,129.212,1,0,0.0,35.1875,129.21249999999998,green
35.187,129.217,3,0,0.0,35.1875,129.2175,green
35.187,129.221,1,0,0.0,35.1875,129.2215,green
35.188,129.21,9,0,0.0,35.188500000000005,129.2105,green
35.188,129.211,4,0,0.0,35.188500000000005,129.2115,green
35.188,129.212,1,0,0.0,35.188500000000005,129.21249999999998,green
35.188,129.215,1,0,0.0,35.188500000000005,129.2155,green
35.188,129.217,1,0,0.0,35.188500000000005,129.2175,green
35.188,129.22,2,0,0.0,35.188500000000005,129.2205,green
35.188,129.221,1,0,0.0,35.188500000000005,129.2215,green
35.189,129.207,2,1,50.0,35.1895,129.20749999999998,yellow
35.189,129.212,1,0,0.0,35.1895,129.21249999999998,green
35.189,129.213,2,0,0.0,35.1895,129.21349999999998,green
35.189,129.215,1,0,0.0,35.1895,129.2155,green
35.189,129.22,1,0,0.0,35.1895,129.2205,green
35.189,129.221,3,1,33.33333333333333,35.1895,129.2215,yellow
35.19,129.21,1,0,0.0,35.1905,129.2105,green
35.19,129.22,2,1,50.0,35.1905,129.2205,yellow
35.191,129.215,1,0,0.0,35.191500000000005,129.2155,green
35.191,129.216,2,0,0.0,35.191500000000005,129.2165,green
35.191,129.217,1,0,0.0,35.191500000000005,129.2175,green
35.192,129.212,1,0,0.0,35.1925,129.21249999999998,green
35.192,129.217,3,3,100.0,35.1925,129.2175,red
35.192,129.223,25,17,68.0,35.1925,129.2235,yellow
35.193,129.22,1,1,100.0,35.1935,129.2205,red
35.194,129.208,1,0,0.0,35.194500000000005,129.2085,green
35.194,129.219,5,5,100.0,35.194500000000005,129.21949999999998,red
35.194,129.22,3,2,66.66666666666666,35.194500000000005,129.2205,yellow
35.194,129.221,1,1,100.0,35.194500000000005,129.2215,red
35.194,129.224,1,0,0.0,35.194500000000005,129.22449999999998,green
35.195,129.221,4,0,0.0,35.1955,129.2215,green
35.195,129.222,4,2,50.0,35.1955,129.2225,yellow
35.195,129.223,6,0,0.0,35.1955,129.2235,green
35.195,129.224,8,2,25.0,35.1955,129.22449999999998,green
35.196,129.222,5,1,20.0,35.1965,129.2225,green
35.196,129.223,14,8,57.14285714285714,35.1965,129.2235,yellow
35.196,129.224,10,8,80.0,35.1965,129.22449999999998,red
35.196,129.225,8,4,50.0,35.1965,129.22549999999998,yellow
35.196,129.226,3,2,66.66666666666666,35.1965,129.2265,yellow
35.196,129.227,6,5,83.33333333333334,35.1965,129.2275,red
35.196,129.228,1,1,100.0,35.1965,129.2285,red
35.197,129.205,3,0,0.0,35.197500000000005,129.2055,green
