block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.152,129.15,1,0,0.0,35.1525,129.1505,green
35.153,129.15200000000002,2,2,100.0,35.1535,129.1525,red
35.154,129.144,2,0,0.0,35.154500000000006,129.1445,green
35.154,129.145,2,0,0.0,35.154500000000006,129.1455,green
35.154,129.14600000000002,10,0,0.0,35.154500000000006,129.1465,green
35.155,129.143,5,0,0.0,35.1555,129.1435,green
35.155,129.145,1,0,0.0,35.1555,129.1455,green
35.155,129.14600000000002,3,0,0.0,35.1555,129.1465,green
35.156,129.141,1,0,0.0,35.1565,129.14149999999998,green
35.156,129.142,5,0,0.0,35.1565,129.14249999999998,green
35.156,129.145,4,0,0.0,35.1565,129.1455,green
35.156,129.14600000000002,1,0,0.0,35.1565,129.1465,green
35.156,129.147,1,0,0.0,35.1565,129.14749999999998,green
35.156,129.151,1,0,0.0,35.1565,129.1515,green
35.156,129.153,1,1,100.0,35.1565,129.15349999999998,red
35.156,129.173,3,2,66.66666666666666,35.1565,129.1735,yellow
35.156,129.174,1,0,0.0,35.1565,129.1745,green
35.156,129.175,1,0,0.0,35.1565,129.1755,green
35.156,129.177,6,3,50.0,35.1565,129.17749999999998,yellow
35.156,129.178,5,1,20.0,35.1565,129.17849999999999,green
35.156,129.179,4,2,50.0,35.1565,129.1795,yellow
35.156,129.18,2,2,100.0,35.1565,129.1805,red
35.157000000000004,129.14000000000001,1,1,100.0,35.157500000000006,129.1405,red
35.157000000000004,129.147,5,5,100.0,35.157500000000006,129.14749999999998,red
35.157000000000004,129.148,4,2,50.0,35.157500000000006,129.14849999999998,yellow
35.157000000000004,129.149,2,0,0.0,35.157500000000006,129.1495,green
35.157000000000004,129.153,1,1,100.0,35.157500000000006,129.15349999999998,red
35.157000000000004,129.156,1,1,100.0,35.157500000000006,129.1565,red
35.157000000000004,129.172,4,3,75.0,35.157500000000006,129.17249999999999,red
35.157000000000004,129.173,4,4,100.0,35.157500000000006,129.1735,red
35.157000000000004,129.175,2,1,50.0,35.157500000000006,129.1755,yellow
35.157000000000004,129.17600000000002,4,3,75.0,35.157500000000006,129.1765,red
35.157000000000004,129.177,4,4,100.0,35.157500000000006,129.17749999999998,red
35.157000000000004,129.178,10,5,50.0,35.157500000000006,129.17849999999999,yellow
35.157000000000004,129.179,7,5,71.42857142857143,35.157500000000006,129.1795,red
35.157000000000004,129.18,11,6,54.54545454545454,35.157500000000006,129.1805,yellow
35.157000000000004,129.181,14,5,35.714285714285715,35.157500000000006,129.1815,yellow
35.157000000000004,129.18200000000002,3,1,33.33333333333333,35.157500000000006,129.1825,yellow
35.158,129.143,1,0,0.0,35.158500000000004,129.1435,green
35.158,129.14600000000002,3,0,0.0,35.158500000000004,129.1465,green
35.158,129.15,6,0,0.0,35.158500000000004,129.1505,green
35.158,129.151,2,0,0.0,35.158500000000004,129.1515,green
35.158,129.153,3,1,33.33333333333333,35.158500000000004,129.15349999999998,yellow
35.158,129.156,2,0,0.0,35.158500000000004,129.1565,green
35.158,129.15800000000002,1,0,0.0,35.158500000000004,129.1585,green
35.158,129.159,1,0,0.0,35.158500000000004,129.15949999999998,green
35.158,129.17000000000002,1,1,100.0,35.158500000000004,129.1705,red
35.158,129.171,14,7,50.0,35.158500000000004,129.17149999999998,yellow
35.158,129.172,6,6,100.0,35.158500000000004,129.17249999999999,red
35.158,129.173,1,1,100.0,35.158500000000004,129.1735,red
35.158,129.174,6,6,100.0,35.158500000000004,129.1745,red
35.158,129.175,12,3,25.0,35.158500000000004,129.1755,green
35.158,129.17600000000002,3,2,66.66666666666666,35.158500000000004,129.1765,yellow
35.158,129.177,6,6,100.0,35.158500000000004,129.17749999999998,red
35.158,129.178,5,3,60.0,35.158500000000004,129.17849999999999,yellow
35.158,129.179,19,8,42.10526315789473,35.158500000000004,129.1795,yellow
35.158,129.18,11,5,45.45454545454545,35.158500000000004,129.1805,yellow
35.158,129.181,12,5,41.66666666666667,35.158500000000004,129.1815,yellow
35.158,129.18200000000002,4,4,100.0,35.158500000000004,129.1825,red
35.159,129.142,1,1,100.0,35.1595,129.14249999999998,red
35.159,129.143,4,2,50.0,35.1595,129.1435,yellow
35.159,129.144,1,0,0.0,35.1595,129.1445,green
35.159,129.145,1,1,100.0,35.1595,129.1455,red
35.159,129.147,1,1,100.0,35.1595,129.14749999999998,red
35.159,129.15,1,1,100.0,35.1595,129.1505,red
35.159,129.151,2,0,0.0,35.1595,129.1515,green
35.159,129.15200000000002,7,3,42.857142857142854,35.1595,129.1525,yellow
35.159,129.153,20,4,20.0,35.1595,129.15349999999998,green
35.159,129.154,12,3,25.0,35.1595,129.15449999999998,green
35.159,129.155,7,3,42.857142857142854,35.1595,129.1555,yellow
35.159,129.156,8,5,62.5,35.1595,129.1565,yellow
35.159,129.157,6,2,33.33333333333333,35.1595,129.1575,yellow
35.159,129.15800000000002,1,0,0.0,35.1595,129.1585,green
35.159,129.159,2,2,100.0,35.1595,129.15949999999998,red
35.159,129.16,5,5,100.0,35.1595,129.16049999999998,red
35.159,129.161,3,1,33.33333333333333,35.1595,129.1615,yellow
35.159,129.162,1,1,100.0,35.1595,129.1625,red
35.159,129.16400000000002,2,0,0.0,35.1595,129.1645,green
35.159,129.17000000000002,10,7,70.0,35.1595,129.1705,red
35.159,129.171,5,4,80.0,35.1595,129.17149999999998,red
35.159,129.172,2,2,100.0,35.1595,129.17249999999999,red
35.159,129.174,9,5,55.55555555555556,35.1595,129.1745,yellow
35.159,129.175,10,4,40.0,35.1595,129.1755,yellow
35.159,129.17600000000002,8,5,62.5,35.1595,129.1765,yellow
35.159,129.177,6,4,66.66666666666666,35.1595,129.17749999999998,yellow
35.159,129.178,1,1,100.0,35.1595,129.17849999999999,red
35.159,129.179,5,1,20.0,35.1595,129.1795,green
35.159,129.18,21,13,61.904761904761905,35.1595,129.1805,yellow
35.159,129.181,15,10,66.66666666666666,35.1595,129.1815,yellow
35.159,129.18200000000002,10,3,30.0,35.1595,129.1825,yellow
35.159,129.183,4,2,50.0,35.1595,129.18349999999998,yellow
35.159,129.184,1,0,0.0,35.1595,129.18449999999999,green
35.160000000000004,129.137,1,1,100.0,35.160500000000006,129.1375,red
35.160000000000004,129.139,5,4,80.0,35.160500000000006,129.1395,red
35.160000000000004,129.143,8,8,100.0,35.160500000000006,129.1435,red
35.160000000000004,129.144,2,0,0.0,35.160500000000006,129.1445,green
35.160000000000004,129.14600000000002,23,23,100.0,35.160500000000006,129.1465,red
35.160000000000004,129.15,17,15,88.23529411764706,35.160500000000006,129.1505,red
35.160000000000004,129.151,17,14,82.35294117647058,35.160500000000006,129.1515,red
35.160000000000004,129.15200000000002,11,4,36.36363636363637,35.160500000000006,129.1525,yellow
35.160000000000004,129.153,5,1,20.0,35.160500000000006,129.15349999999998,green
35.160000000000004,129.154,17,6,35.294117647058826,35.160500000000006,129.15449999999998,yellow
35.160000000000004,129.155,10,3,30.0,35.160500000000006,129.1555,yellow
35.160000000000004,129.156,9,1,11.11111111111111,35.160500000000006,129.1565,green
35.160000000000004,129.157,13,1,7.6923076923076925,35.160500000000006,129.1575,green
35.160000000000004,129.15800000000002,13,4,30.76923076923077,35.160500000000006,129.1585,yellow
35.160000000000004,129.159,12,3,25.0,35.160500000000006,129.15949999999998,green
35.160000000000004,129.16,25,15,60.0,35.160500000000006,129.16049999999998,yellow
35.160000000000004,129.161,13,6,46.15384615384615,35.160500000000006,129.1615,yellow
35.160000000000004,129.162,11,3,27.27272727272727,35.160500000000006,129.1625,green
35.160000000000004,129.163,3,3,100.0,35.160500000000006,129.1635,red
35.160000000000004,129.16400000000002,3,3,100.0,35.160500000000006,129.1645,red
35.160000000000004,129.165,1,1,100.0,35.160500000000006,129.16549999999998,red
35.160000000000004,129.166,2,0,0.0,35.160500000000006,129.16649999999998,green
35.160000000000004,129.168,4,0,0.0,35.160500000000006,129.1685,green
35.160000000000004,129.17000000000002,23,17,73.91304347826086,35.160500000000006,129.1705,red
35.160000000000004,129.171,14,12,85.71428571428571,35.160500000000006,129.17149999999998,red
35.160000000000004,129.172,7,7,100.0,35.160500000000006,129.17249999999999,red
35.160000000000004,129.173,10,4,40.0,35.160500000000006,129.1735,yellow
35.160000000000004,129.175,10,8,80.0,35.160500000000006,129.1755,red
35.160000000000004,129.17600000000002,9,7,77.77777777777779,35.160500000000006,129.1765,red
35.160000000000004,129.177,3,3,100.0,35.160500000000006,129.17749999999998,red
35.160000000000004,129.18,9,8,88.88888888888889,35.160500000000006,129.1805,red
35.160000000000004,129.181,24,19,79.16666666666666,35.160500000000006,129.1815,red
35.160000000000004,129.18200000000002,19,4,21.052631578947366,35.160500000000006,129.1825,green
35.160000000000004,129.183,12,7,58.333333333333336,35.160500000000006,129.18349999999998,yellow
35.160000000000004,129.184,1,1,100.0,35.160500000000006,129.18449999999999,red
35.160000000000004,129.189,8,5,62.5,35.160500000000006,129.18949999999998,yellow
35.160000000000004,129.19,6,4,66.66666666666666,35.160500000000006,129.1905,yellow
35.160000000000004,129.191,10,8,80.0,35.160500000000006,129.1915,red
35.160000000000004,129.192,7,4,57.14285714285714,35.160500000000006,129.1925,yellow
35.160000000000004,129.193,5,5,100.0,35.160500000000006,129.1935,red
35.161,129.142,1,1,100.0,35.161500000000004,129.14249999999998,red
35.161,129.154,9,6,66.66666666666666,35.161500000000004,129.15449999999998,yellow
35.161,129.155,7,0,0.0,35.161500000000004,129.1555,green
35.161,129.156,12,3,25.0,35.161500000000004,129.1565,green
35.161,129.157,14,2,14.285714285714285,35.161500000000004,129.1575,green
35.161,129.15800000000002,9,4,44.44444444444444,35.161500000000004,129.1585,yellow
35.161,129.159,17,9,52.94117647058824,35.161500000000004,129.15949999999998,yellow
35.161,129.16,9,8,88.88888888888889,35.161500000000004,129.16049999999998,red
35.161,129.161,19,13,68.42105263157895,35.161500000000004,129.1615,yellow
35.161,129.162,33,30,90.9090909090909,35.161500000000004,129.1625,red
35.161,129.163,10,8,80.0,35.161500000000004,129.1635,red
35.161,129.16400000000002,10,5,50.0,35.161500000000004,129.1645,yellow
35.161,129.165,8,5,62.5,35.161500000000004,129.16549999999998,yellow
35.161,129.166,13,8,61.53846153846154,35.161500000000004,129.16649999999998,yellow
35.161,129.167,3,0,0.0,35.161500000000004,129.1675,green
35.161,129.17000000000002,6,3,50.0,35.161500000000004,129.1705,yellow
35.161,129.171,7,0,0.0,35.161500000000004,129.17149999999998,green
35.161,129.172,9,5,55.55555555555556,35.161500000000004,129.17249999999999,yellow
