block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.091,129.126,1,1,100.0,35.0915,129.1265,red
35.101,129.122,1,0,0.0,35.1015,129.1225,green
35.103,129.108,1,0,0.0,35.103500000000004,129.1085,green
35.103,129.11,1,0,0.0,35.103500000000004,129.1105,green
35.103,129.113,2,0,0.0,35.103500000000004,129.1135,green
35.103,129.114,1,0,0.0,35.103500000000004,129.1145,green
35.103,129.116,1,0,0.0,35.103500000000004,129.1165,green
35.103,129.118,18,0,0.0,35.103500000000004,129.11849999999998,green
35.104,129.112,6,0,0.0,35.1045,129.11249999999998,green
35.105000000000004,129.082,3,0,0.0,35.105500000000006,129.08249999999998,green
35.106,129.105,1,1,100.0,35.106500000000004,129.10549999999998,red
35.106,129.112,1,0,0.0,35.106500000000004,129.11249999999998,green
35.107,129.072,11,0,0.0,35.1075,129.0725,green
35.107,129.111,2,1,50.0,35.1075,129.11149999999998,yellow
35.108000000000004,129.08,2,0,0.0,35.10850000000001,129.0805,green
35.108000000000004,129.085,1,1,100.0,35.10850000000001,129.0855,red
35.108000000000004,129.09,3,3,100.0,35.10850000000001,129.0905,red
35.108000000000004,129.091,3,2,66.66666666666666,35.10850000000001,129.0915,yellow
35.108000000000004,129.111,12,12,100.0,35.10850000000001,129.11149999999998,red
35.108000000000004,129.112,27,25,92.5925925925926,35.10850000000001,129.11249999999998,red
35.108000000000004,129.113,17,15,88.23529411764706,35.10850000000001,129.1135,red
35.108000000000004,129.114,2,1,50.0,35.10850000000001,129.1145,yellow
35.109,129.068,6,0,0.0,35.109500000000004,129.0685,green
35.109,129.079,1,0,0.0,35.109500000000004,129.0795,green
35.109,129.08,1,0,0.0,35.109500000000004,129.0805,green
35.109,129.081,5,0,0.0,35.109500000000004,129.08149999999998,green
35.109,129.082,2,0,0.0,35.109500000000004,129.08249999999998,green
35.109,129.091,1,0,0.0,35.109500000000004,129.0915,green
35.109,129.102,2,2,100.0,35.109500000000004,129.1025,red
35.109,129.109,3,0,0.0,35.109500000000004,129.1095,green
35.109,129.11,10,9,90.0,35.109500000000004,129.1105,red
35.109,129.111,28,20,71.42857142857143,35.109500000000004,129.11149999999998,red
35.109,129.112,55,55,100.0,35.109500000000004,129.11249999999998,red
35.109,129.113,33,29,87.87878787878788,35.109500000000004,129.1135,red
35.109,129.115,3,2,66.66666666666666,35.109500000000004,129.1155,yellow
35.11,129.079,6,0,0.0,35.1105,129.0795,green
35.11,129.08,3,0,0.0,35.1105,129.0805,green
35.11,129.083,2,2,100.0,35.1105,129.0835,red
35.11,129.086,4,0,0.0,35.1105,129.0865,green
35.11,129.087,3,0,0.0,35.1105,129.08749999999998,green
35.11,129.088,5,0,0.0,35.1105,129.08849999999998,green
35.11,129.089,2,0,0.0,35.1105,129.0895,green
35.11,129.101,1,1,100.0,35.1105,129.1015,red
35.11,129.11,25,23,92.0,35.1105,129.1105,red
35.11,129.111,22,18,81.81818181818183,35.1105,129.11149999999998,red
35.11,129.112,1,1,100.0,35.1105,129.11249999999998,red
35.11,129.113,3,2,66.66666666666666,35.1105,129.1135,yellow
35.11,129.116,4,4,100.0,35.1105,129.1165,red
35.111000000000004,129.08,10,8,80.0,35.11150000000001,129.0805,red
35.111000000000004,129.081,3,3,100.0,35.11150000000001,129.08149999999998,red
35.111000000000004,129.082,3,3,100.0,35.11150000000001,129.08249999999998,red
35.111000000000004,129.083,8,8,100.0,35.11150000000001,129.0835,red
35.111000000000004,129.084,3,3,100.0,35.11150000000001,129.0845,red
35.111000000000004,129.085,8,4,50.0,35.11150000000001,129.0855,yellow
35.111000000000004,129.086,3,0,0.0,35.11150000000001,129.0865,green
35.111000000000004,129.087,5,0,0.0,35.11150000000001,129.08749999999998,green
35.111000000000004,129.088,6,0,0.0,35.11150000000001,129.08849999999998,green
35.111000000000004,129.089,5,0,0.0,35.11150000000001,129.0895,green
35.111000000000004,129.09,2,0,0.0,35.11150000000001,129.0905,green
35.111000000000004,129.091,3,0,0.0,35.11150000000001,129.0915,green
35.111000000000004,129.093,4,0,0.0,35.11150000000001,129.09349999999998,green
35.111000000000004,129.098,21,15,71.42857142857143,35.11150000000001,129.0985,red
35.111000000000004,129.101,2,2,100.0,35.11150000000001,129.1015,red
35.111000000000004,129.102,2,0,0.0,35.11150000000001,129.1025,green
35.111000000000004,129.103,2,1,50.0,35.11150000000001,129.1035,yellow
35.111000000000004,129.108,2,2,100.0,35.11150000000001,129.1085,red
35.111000000000004,129.109,4,1,25.0,35.11150000000001,129.1095,green
35.111000000000004,129.11,13,5,38.46153846153847,35.11150000000001,129.1105,yellow
35.111000000000004,129.111,11,9,81.81818181818183,35.11150000000001,129.11149999999998,red
35.111000000000004,129.114,9,0,0.0,35.11150000000001,129.1145,green
35.112,129.08,16,15,93.75,35.112500000000004,129.0805,red
35.112,129.081,19,17,89.47368421052632,35.112500000000004,129.08149999999998,red
35.112,129.082,13,13,100.0,35.112500000000004,129.08249999999998,red
35.112,129.083,18,18,100.0,35.112500000000004,129.0835,red
35.112,129.084,20,19,95.0,35.112500000000004,129.0845,red
35.112,129.085,15,12,80.0,35.112500000000004,129.0855,red
35.112,129.086,1,1,100.0,35.112500000000004,129.0865,red
35.112,129.091,4,0,0.0,35.112500000000004,129.0915,green
35.112,129.092,10,6,60.0,35.112500000000004,129.0925,yellow
35.112,129.093,15,12,80.0,35.112500000000004,129.09349999999998,red
35.112,129.101,3,2,66.66666666666666,35.112500000000004,129.1015,yellow
35.112,129.102,1,1,100.0,35.112500000000004,129.1025,red
35.112,129.107,2,2,100.0,35.112500000000004,129.1075,red
35.112,129.108,8,4,50.0,35.112500000000004,129.1085,yellow
35.112,129.11,35,30,85.71428571428571,35.112500000000004,129.1105,red
35.112,129.111,13,12,92.3076923076923,35.112500000000004,129.11149999999998,red
35.112,129.113,1,0,0.0,35.112500000000004,129.1135,green
35.112,129.114,20,20,100.0,35.112500000000004,129.1145,red
35.112,129.115,6,6,100.0,35.112500000000004,129.1155,red
35.113,129.07,85,18,21.176470588235293,35.1135,129.07049999999998,green
35.113,129.08,22,21,95.45454545454545,35.1135,129.0805,red
35.113,129.081,22,21,95.45454545454545,35.1135,129.08149999999998,red
35.113,129.082,25,24,96.0,35.1135,129.08249999999998,red
35.113,129.083,46,46,100.0,35.1135,129.0835,red
35.113,129.084,46,44,95.65217391304348,35.1135,129.0845,red
35.113,129.085,29,29,100.0,35.1135,129.0855,red
35.113,129.086,33,27,81.81818181818183,35.1135,129.0865,red
35.113,129.087,5,4,80.0,35.1135,129.08749999999998,red
35.113,129.091,6,5,83.33333333333334,35.1135,129.0915,red
35.113,129.092,15,8,53.333333333333336,35.1135,129.0925,yellow
35.113,129.093,16,15,93.75,35.1135,129.09349999999998,red
35.113,129.094,22,21,95.45454545454545,35.1135,129.09449999999998,red
35.113,129.095,18,17,94.44444444444444,35.1135,129.0955,red
35.113,129.096,5,0,0.0,35.1135,129.0965,green
35.113,129.101,1,0,0.0,35.1135,129.1015,green
35.113,129.107,8,8,100.0,35.1135,129.1075,red
35.113,129.108,7,4,57.14285714285714,35.1135,129.1085,yellow
35.113,129.109,29,14,48.275862068965516,35.1135,129.1095,yellow
35.113,129.11,42,37,88.09523809523809,35.1135,129.1105,red
35.113,129.111,23,17,73.91304347826086,35.1135,129.11149999999998,red
35.113,129.112,49,49,100.0,35.1135,129.11249999999998,red
35.113,129.113,13,12,92.3076923076923,35.1135,129.1135,red
35.113,129.114,37,33,89.1891891891892,35.1135,129.1145,red
35.113,129.115,3,3,100.0,35.1135,129.1155,red
35.113,129.118,2,2,100.0,35.1135,129.11849999999998,red
35.114,129.08,40,39,97.5,35.1145,129.0805,red
35.114,129.081,20,20,100.0,35.1145,129.08149999999998,red
35.114,129.082,14,14,100.0,35.1145,129.08249999999998,red
35.114,129.083,49,49,100.0,35.1145,129.0835,red
35.114,129.084,44,44,100.0,35.1145,129.0845,red
35.114,129.085,38,36,94.73684210526315,35.1145,129.0855,red
35.114,129.086,46,46,100.0,35.1145,129.0865,red
35.114,129.087,17,14,82.35294117647058,35.1145,129.08749999999998,red
35.114,129.091,6,6,100.0,35.1145,129.0915,red
35.114,129.092,28,25,89.28571428571429,35.1145,129.0925,red
35.114,129.093,9,9,100.0,35.1145,129.09349999999998,red
35.114,129.094,7,4,57.14285714285714,35.1145,129.09449999999998,yellow
35.114,129.095,17,15,88.23529411764706,35.1145,129.0955,red
35.114,129.096,1,1,100.0,35.1145,129.0965,red
35.114,129.099,11,6,54.54545454545454,35.1145,129.09949999999998,yellow
35.114,129.107,5,5,100.0,35.1145,129.1075,red
35.114,129.109,22,22,100.0,35.1145,129.1095,red
35.114,129.11,26,20,76.92307692307693,35.1145,129.1105,red
