block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.045,128.968,1,1,100.0,35.045500000000004,128.96849999999998,red
35.045,128.969,5,4,80.0,35.045500000000004,128.96949999999998,red
35.046,128.968,10,4,40.0,35.0465,128.96849999999998,yellow
35.046,128.969,7,7,100.0,35.0465,128.96949999999998,red
35.047000000000004,128.968,3,0,0.0,35.04750000000001,128.96849999999998,green
35.047000000000004,128.969,3,3,100.0,35.04750000000001,128.96949999999998,red
35.048,128.964,6,4,66.66666666666666,35.048500000000004,128.9645,yellow
35.048,128.965,5,4,80.0,35.048500000000004,128.9655,red
35.048,128.966,11,3,27.27272727272727,35.048500000000004,128.9665,green
35.048,128.968,5,5,100.0,35.048500000000004,128.96849999999998,red
35.048,128.969,1,0,0.0,35.048500000000004,128.96949999999998,green
35.048,128.97,9,2,22.22222222222222,35.048500000000004,128.9705,green
35.048,128.971,2,1,50.0,35.048500000000004,128.9715,yellow
35.048,128.999,4,0,0.0,35.048500000000004,128.99949999999998,green
35.048,129.0,2,0,0.0,35.048500000000004,129.0005,green
35.049,128.961,1,1,100.0,35.0495,128.9615,red
35.049,128.962,5,0,0.0,35.0495,128.96249999999998,green
35.049,128.963,7,1,14.285714285714285,35.0495,128.96349999999998,green
35.049,128.964,5,3,60.0,35.0495,128.9645,yellow
35.049,128.965,7,5,71.42857142857143,35.0495,128.9655,red
35.049,128.966,6,6,100.0,35.0495,128.9665,red
35.049,128.969,3,3,100.0,35.0495,128.96949999999998,red
35.049,128.972,2,2,100.0,35.0495,128.9725,red
35.049,128.975,4,3,75.0,35.0495,128.97549999999998,red
35.049,129.0,3,0,0.0,35.0495,129.0005,green
35.050000000000004,128.96,1,1,100.0,35.05050000000001,128.9605,red
35.050000000000004,128.963,15,13,86.66666666666667,35.05050000000001,128.96349999999998,red
35.050000000000004,128.964,1,0,0.0,35.05050000000001,128.9645,green
35.050000000000004,128.965,10,8,80.0,35.05050000000001,128.9655,red
35.050000000000004,128.966,1,1,100.0,35.05050000000001,128.9665,red
35.050000000000004,128.969,10,9,90.0,35.05050000000001,128.96949999999998,red
35.050000000000004,128.97,5,2,40.0,35.05050000000001,128.9705,yellow
35.050000000000004,128.974,4,4,100.0,35.05050000000001,128.97449999999998,red
35.050000000000004,128.997,3,0,0.0,35.05050000000001,128.9975,green
