block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.119,128.961,1,0,0.0,35.1195,128.9615,green
35.12,128.961,7,0,0.0,35.1205,128.9615,green
35.12,128.962,7,0,0.0,35.1205,128.96249999999998,green
35.121,128.961,8,0,0.0,35.121500000000005,128.9615,green
35.121,128.963,1,0,0.0,35.121500000000005,128.96349999999998,green
35.121,128.974,1,1,100.0,35.121500000000005,128.97449999999998,red
35.122,128.962,4,0,0.0,35.1225,128.96249999999998,green
35.122,128.963,3,0,0.0,35.1225,128.96349999999998,green
35.122,128.964,2,1,50.0,35.1225,128.9645,yellow
35.122,128.966,1,0,0.0,35.1225,128.9665,green
35.122,128.973,1,0,0.0,35.1225,128.9735,green
35.122,128.975,4,2,50.0,35.1225,128.97549999999998,yellow
35.123,128.962,4,0,0.0,35.1235,128.96249999999998,green
35.123,128.963,12,0,0.0,35.1235,128.96349999999998,green
35.123,128.964,8,0,0.0,35.1235,128.9645,green
35.123,128.965,1,0,0.0,35.1235,128.9655,green
35.123,128.97,12,12,100.0,35.1235,128.9705,red
35.123,128.971,1,1,100.0,35.1235,128.9715,red
35.123,128.972,10,3,30.0,35.1235,128.9725,yellow
35.123,128.973,6,1,16.666666666666664,35.1235,128.9735,green
35.123,128.974,4,4,100.0,35.1235,128.97449999999998,red
35.124,128.962,6,0,0.0,35.124500000000005,128.96249999999998,green
35.124,128.963,10,0,0.0,35.124500000000005,128.96349999999998,green
35.124,128.964,19,0,0.0,35.124500000000005,128.9645,green
35.124,128.965,9,0,0.0,35.124500000000005,128.9655,green
35.124,128.966,1,0,0.0,35.124500000000005,128.9665,green
35.124,128.967,13,0,0.0,35.124500000000005,128.9675,green
35.124,128.968,2,1,50.0,35.124500000000005,128.96849999999998,yellow
35.124,128.97,13,10,76.92307692307693,35.124500000000005,128.9705,red
35.124,128.971,34,27,79.41176470588235,35.124500000000005,128.9715,red
35.124,128.972,14,8,57.14285714285714,35.124500000000005,128.9725,yellow
35.124,128.973,20,19,95.0,35.124500000000005,128.9735,red
35.124,128.974,40,39,97.5,35.124500000000005,128.97449999999998,red
35.124,128.975,5,0,0.0,35.124500000000005,128.97549999999998,green
35.124,128.976,7,0,0.0,35.124500000000005,128.9765,green
35.125,128.963,12,4,33.33333333333333,35.1255,128.96349999999998,yellow
35.125,128.964,6,0,0.0,35.1255,128.9645,green
35.125,128.965,14,0,0.0,35.1255,128.9655,green
35.125,128.966,4,0,0.0,35.1255,128.9665,green
35.125,128.967,4,3,75.0,35.1255,128.9675,red
35.125,128.968,14,7,50.0,35.1255,128.96849999999998,yellow
35.125,128.969,26,20,76.92307692307693,35.1255,128.96949999999998,red
