block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.054,129.011,1,0,0.0,35.054500000000004,129.01149999999998,green
35.054,129.012,9,0,0.0,35.054500000000004,129.0125,green
35.058,129.01,13,0,0.0,35.0585,129.01049999999998,green
35.061,129.008,3,0,0.0,35.0615,129.0085,green
35.061,129.00900000000001,1,0,0.0,35.0615,129.0095,green
35.061,129.011,1,0,0.0,35.0615,129.01149999999998,green
35.061,129.012,2,0,0.0,35.0615,129.0125,green
35.061,129.02,1,0,0.0,35.0615,129.0205,green
35.062,129.00900000000001,2,0,0.0,35.0625,129.0095,green
35.062,129.01,1,0,0.0,35.0625,129.01049999999998,green
35.062,129.011,1,0,0.0,35.0625,129.01149999999998,green
35.062,129.01500000000001,33,32,96.96969696969697,35.0625,129.0155,red
35.062,129.016,1,1,100.0,35.0625,129.01649999999998,red
35.062,129.017,2,1,50.0,35.0625,129.01749999999998,yellow
35.062,129.018,3,3,100.0,35.0625,129.0185,red
35.062,129.019,1,1,100.0,35.0625,129.0195,red
35.062,129.02,2,2,100.0,35.0625,129.0205,red
35.063,129.012,3,0,0.0,35.063500000000005,129.0125,green
35.063,129.013,1,0,0.0,35.063500000000005,129.0135,green
35.063,129.014,3,2,66.66666666666666,35.063500000000005,129.0145,yellow
35.063,129.01500000000001,6,4,66.66666666666666,35.063500000000005,129.0155,yellow
35.063,129.016,1,1,100.0,35.063500000000005,129.01649999999998,red
35.064,129.012,3,0,0.0,35.0645,129.0125,green
35.064,129.013,3,1,33.33333333333333,35.0645,129.0135,yellow
35.064,129.014,2,0,0.0,35.0645,129.0145,green
35.065,129.012,1,0,0.0,35.0655,129.0125,green
35.065,129.013,7,0,0.0,35.0655,129.0135,green
35.065,129.014,2,1,50.0,35.0655,129.0145,yellow
35.066,129.01,1,0,0.0,35.066500000000005,129.01049999999998,green
35.066,129.011,1,0,0.0,35.066500000000005,129.01149999999998,green
35.066,129.012,3,0,0.0,35.066500000000005,129.0125,green
35.066,129.013,11,11,100.0,35.066500000000005,129.0135,red
35.066,129.014,3,1,33.33333333333333,35.066500000000005,129.0145,yellow
35.067,129.00900000000001,1,0,0.0,35.0675,129.0095,green
35.067,129.013,1,1,100.0,35.0675,129.0135,red
35.068,129.008,3,1,33.33333333333333,35.0685,129.0085,yellow
35.068,129.00900000000001,1,0,0.0,35.0685,129.0095,green
35.07,129.007,2,0,0.0,35.0705,129.0075,green
35.07,129.008,1,0,0.0,35.0705,129.0085,green
35.07,129.01500000000001,8,8,100.0,35.0705,129.0155,red
35.07,129.016,8,6,75.0,35.0705,129.01649999999998,red
35.07,129.017,8,8,100.0,35.0705,129.01749999999998,red
35.07,129.018,7,4,57.14285714285714,35.0705,129.0185,yellow
35.071,129.006,2,0,0.0,35.0715,129.0065,green
35.071,129.008,6,0,0.0,35.0715,129.0085,green
35.071,129.01500000000001,5,5,100.0,35.0715,129.0155,red
35.071,129.016,6,4,66.66666666666666,35.0715,129.01649999999998,yellow
35.071,129.017,2,0,0.0,35.0715,129.01749999999998,green
35.072,129.006,1,0,0.0,35.072500000000005,129.0065,green
35.072,129.007,3,0,0.0,35.072500000000005,129.0075,green
35.072,129.014,10,8,80.0,35.072500000000005,129.0145,red
35.072,129.01500000000001,29,22,75.86206896551724,35.072500000000005,129.0155,red
35.072,129.016,10,3,30.0,35.072500000000005,129.01649999999998,yellow
35.073,129.005,1,0,0.0,35.0735,129.00549999999998,green
35.073,129.00900000000001,2,1,50.0,35.0735,129.0095,yellow
35.073,129.013,4,4,100.0,35.0735,129.0135,red
35.073,129.014,23,22,95.65217391304348,35.0735,129.0145,red
35.073,129.01500000000001,32,31,96.875,35.0735,129.0155,red
35.074,129.006,6,4,66.66666666666666,35.0745,129.0065,yellow
35.074,129.012,1,0,0.0,35.0745,129.0125,green
35.074,129.013,3,3,100.0,35.0745,129.0135,red
35.074,129.014,3,3,100.0,35.0745,129.0145,red
35.074,129.01500000000001,12,11,91.66666666666666,35.0745,129.0155,red
35.075,129.005,1,0,0.0,35.075500000000005,129.00549999999998,green
35.075,129.007,1,0,0.0,35.075500000000005,129.0075,green
35.075,129.013,6,5,83.33333333333334,35.075500000000005,129.0135,red
35.075,129.01500000000001,1,1,100.0,35.075500000000005,129.0155,red
35.075,129.016,5,3,60.0,35.075500000000005,129.01649999999998,yellow
35.076,129.005,2,0,0.0,35.0765,129.00549999999998,green
35.076,129.006,5,4,80.0,35.0765,129.0065,red
35.076,129.007,5,3,60.0,35.0765,129.0075,yellow
35.076,129.012,1,1,100.0,35.0765,129.0125,red
35.076,129.014,2,2,100.0,35.0765,129.0145,red
35.076,129.01500000000001,4,3,75.0,35.0765,129.0155,red
35.076,129.016,12,8,66.66666666666666,35.0765,129.01649999999998,yellow
35.076,129.017,5,5,100.0,35.0765,129.01749999999998,red
35.076,129.022,9,8,88.88888888888889,35.0765,129.02249999999998,red
35.076,129.023,1,0,0.0,35.0765,129.02349999999998,green
35.076,129.024,3,0,0.0,35.0765,129.0245,green
35.077,129.005,2,0,0.0,35.0775,129.00549999999998,green
35.077,129.006,3,2,66.66666666666666,35.0775,129.0065,yellow
35.077,129.012,1,1,100.0,35.0775,129.0125,red
35.077,129.013,15,14,93.33333333333333,35.0775,129.0135,red
35.077,129.014,3,3,100.0,35.0775,129.0145,red
35.077,129.01500000000001,7,7,100.0,35.0775,129.0155,red
35.077,129.016,8,5,62.5,35.0775,129.01649999999998,yellow
35.077,129.017,9,8,88.88888888888889,35.0775,129.01749999999998,red
35.077,129.018,2,0,0.0,35.0775,129.0185,green
35.077,129.019,2,1,50.0,35.0775,129.0195,yellow
35.077,129.02100000000002,19,17,89.47368421052632,35.0775,129.0215,red
35.077,129.022,7,1,14.285714285714285,35.0775,129.02249999999998,green
35.078,129.005,1,0,0.0,35.078500000000005,129.00549999999998,green
35.078,129.006,2,1,50.0,35.078500000000005,129.0065,yellow
35.078,129.012,27,27,100.0,35.078500000000005,129.0125,red
35.078,129.013,27,27,100.0,35.078500000000005,129.0135,red
35.078,129.014,19,17,89.47368421052632,35.078500000000005,129.0145,red
35.078,129.01500000000001,15,10,66.66666666666666,35.078500000000005,129.0155,yellow
35.078,129.016,14,13,92.85714285714286,35.078500000000005,129.01649999999998,red
35.078,129.017,21,18,85.71428571428571,35.078500000000005,129.01749999999998,red
35.078,129.018,6,5,83.33333333333334,35.078500000000005,129.0185,red
35.078,129.019,7,7,100.0,35.078500000000005,129.0195,red
35.078,129.02,16,11,68.75,35.078500000000005,129.0205,yellow
35.078,129.02100000000002,16,15,93.75,35.078500000000005,129.0215,red
35.078,129.022,6,4,66.66666666666666,35.078500000000005,129.02249999999998,yellow
