block_lat,block_lon,total_buildings,old_buildings,old_ratio,center_lat,center_lon,color
35.136,129.111,2,0,0.0,35.136500000000005,129.11149999999998,green
35.137,129.108,1,0,0.0,35.1375,129.1085,green
35.137,129.109,2,1,50.0,35.1375,129.1095,yellow
35.137,129.11,7,1,14.285714285714285,35.1375,129.1105,green
35.137,129.112,10,9,90.0,35.1375,129.11249999999998,red
35.137,129.113,1,1,100.0,35.1375,129.1135,red
35.138,129.107,11,7,63.63636363636363,35.1385,129.1075,yellow
35.138,129.108,9,5,55.55555555555556,35.1385,129.1085,yellow
35.138,129.109,14,13,92.85714285714286,35.1385,129.1095,red
35.138,129.112,6,4,66.66666666666666,35.1385,129.11249999999998,yellow
35.138,129.113,4,4,100.0,35.1385,129.1135,red
35.138,129.114,1,0,0.0,35.1385,129.1145,green
35.139,129.106,10,7,70.0,35.139500000000005,129.10649999999998,red
35.139,129.107,37,31,83.78378378378379,35.139500000000005,129.1075,red
35.139,129.108,28,20,71.42857142857143,35.139500000000005,129.1085,red
35.139,129.109,6,6,100.0,35.139500000000005,129.1095,red
35.14,129.105,1,1,100.0,35.1405,129.10549999999998,red
35.14,129.106,7,3,42.857142857142854,35.1405,129.10649999999998,yellow
35.14,129.107,21,17,80.95238095238095,35.1405,129.1075,red
35.14,129.108,29,22,75.86206896551724,35.1405,129.1085,red
35.14,129.109,35,28,80.0,35.1405,129.1095,red
35.14,129.11,8,7,87.5,35.1405,129.1105,red
35.14,129.111,4,2,50.0,35.1405,129.11149999999998,yellow
35.14,129.116,1,1,100.0,35.1405,129.1165,red
35.141,129.106,3,3,100.0,35.1415,129.10649999999998,red
35.141,129.107,19,12,63.1578947368421,35.1415,129.1075,yellow
35.141,129.108,28,18,64.28571428571429,35.1415,129.1085,yellow
35.141,129.109,39,29,74.35897435897436,35.1415,129.1095,red
35.141,129.11,29,22,75.86206896551724,35.1415,129.1105,red
35.141,129.111,7,6,85.71428571428571,35.1415,129.11149999999998,red
35.142,129.102,2,2,100.0,35.142500000000005,129.1025,red
35.142,129.104,7,0,0.0,35.142500000000005,129.1045,green
35.142,129.105,6,4,66.66666666666666,35.142500000000005,129.10549999999998,yellow
35.142,129.106,19,14,73.68421052631578,35.142500000000005,129.10649999999998,red
35.142,129.107,14,6,42.857142857142854,35.142500000000005,129.1075,yellow
35.142,129.108,14,9,64.28571428571429,35.142500000000005,129.1085,yellow
35.142,129.109,26,23,88.46153846153845,35.142500000000005,129.1095,red
35.142,129.11,30,22,73.33333333333333,35.142500000000005,129.1105,red
35.142,129.111,2,2,100.0,35.142500000000005,129.11149999999998,red
35.142,129.112,20,0,0.0,35.142500000000005,129.11249999999998,green
35.142,129.116,27,27,100.0,35.142500000000005,129.1165,red
35.143,129.104,3,2,66.66666666666666,35.1435,129.1045,yellow
35.143,129.105,26,23,88.46153846153845,35.1435,129.10549999999998,red
35.143,129.106,22,15,68.18181818181817,35.1435,129.10649999999998,yellow
35.143,129.107,12,9,75.0,35.1435,129.1075,red
35.143,129.108,12,8,66.66666666666666,35.1435,129.1085,yellow
35.143,129.109,14,8,57.14285714285714,35.1435,129.1095,yellow
35.143,129.11,25,17,68.0,35.1435,129.1105,yellow
35.143,129.111,2,2,100.0,35.1435,129.11149999999998,red
35.143,129.113,2,2,100.0,35.1435,129.1135,red
35.143,129.114,10,10,100.0,35.1435,129.1145,red
35.144,129.104,1,1,100.0,35.1445,129.1045,red
35.144,129.105,8,3,37.5,35.1445,129.10549999999998,yellow
35.144,129.106,8,5,62.5,35.1445,129.10649999999998,yellow
35.144,129.107,6,6,100.0,35.1445,129.1075,red
35.144,129.108,2,2,100.0,35.1445,129.1085,red
35.144,129.109,2,0,0.0,35.1445,129.1095,green
35.144,129.11,16,12,75.0,35.1445,129.1105,red
35.144,129.111,11,9,81.81818181818183,35.1445,129.11149999999998,red
35.144,129.113,2,2,100.0,35.1445,129.1135,red
35.145,129.105,3,2,66.66666666666666,35.145500000000006,129.10549999999998,yellow
35.145,129.106,20,20,100.0,35.145500000000006,129.10649999999998,red
35.145,129.107,15,9,60.0,35.145500000000006,129.1075,yellow
35.145,129.108,7,3,42.857142857142854,35.145500000000006,129.1085,yellow
35.145,129.109,2,1,50.0,35.145500000000006,129.1095,yellow
35.145,129.11,8,3,37.5,35.145500000000006,129.1105,yellow
35.145,129.111,24,23,95.83333333333334,35.145500000000006,129.11149999999998,red
35.145,129.112,18,8,44.44444444444444,35.145500000000006,129.11249999999998,yellow
35.145,129.113,1,1,100.0,35.145500000000006,129.1135,red
35.145,129.114,5,3,60.0,35.145500000000006,129.1145,yellow
35.145,129.115,2,2,100.0,35.145500000000006,129.1155,red
35.146,129.106,5,0,0.0,35.1465,129.10649999999998,green
35.146,129.107,6,6,100.0,35.1465,129.1075,red
35.146,129.108,13,4,30.76923076923077,35.1465,129.1085,yellow
35.146,129.109,16,10,62.5,35.1465,129.1095,yellow
35.146,129.11,10,5,50.0,35.1465,129.1105,yellow
35.146,129.111,17,17,100.0,35.1465,129.11149999999998,red
35.146,129.112,22,22,100.0,35.1465,129.11249999999998,red
35.146,129.113,14,14,100.0,35.1465,129.1135,red
35.146,129.114,7,6,85.71428571428571,35.1465,129.1145,red
35.146,129.115,1,0,0.0,35.1465,129.1155,green
35.147,129.107,1,1,100.0,35.1475,129.1075,red
35.147,129.108,10,9,90.0,35.1475,129.1085,red
35.147,129.109,22,13,59.09090909090909,35.1475,129.1095,yellow
35.147,129.11,15,10,66.66666666666666,35.1475,129.1105,yellow
35.147,129.111,22,21,95.45454545454545,35.1475,129.11149999999998,red
35.147,129.112,7,6,85.71428571428571,35.1475,129.11249999999998,red
35.147,129.113,5,4,80.0,35.1475,129.1135,red
35.148,129.106,7,4,57.14285714285714,35.148500000000006,129.10649999999998,yellow
35.148,129.107,17,14,82.35294117647058,35.148500000000006,129.1075,red
35.148,129.108,11,9,81.81818181818183,35.148500000000006,129.1085,red
35.148,129.109,17,14,82.35294117647058,35.148500000000006,129.1095,red
35.148,129.11,10,7,70.0,35.148500000000006,129.1105,red
35.148,129.111,19,8,42.10526315789473,35.148500000000006,129.11149999999998,yellow
35.148,129.112,34,26,76.47058823529412,35.148500000000006,129.11249999999998,red
35.148,129.113,18,18,100.0,35.148500000000006,129.1135,red
35.148,129.114,20,16,80.0,35.148500000000006,129.1145,red
35.149,129.106,2,2,100.0,35.1495,129.10649999999998,red
35.149,129.107,11,6,54.54545454545454,35.1495,129.1075,yellow
35.149,129.108,6,5,83.33333333333334,35.1495,129.1085,red
35.149,129.109,15,10,66.66666666666666,35.1495,129.1095,yellow
35.149,129.11,12,7,58.333333333333336,35.1495,129.1105,yellow
35.149,129.111,24,13,54.166666666666664,35.1495,129.11149999999998,yellow
35.149,129.112,36,32,88.88888888888889,35.1495,129.11249999999998,red
35.149,129.113,26,20,76.92307692307693,35.1495,129.1135,red
35.149,129.114,15,9,60.0,35.1495,129.1145,yellow
35.149,129.115,2,0,0.0,35.1495,129.1155,green
35.15,129.106,1,1,100.0,35.1505,129.10649999999998,red
35.15,129.107,22,18,81.81818181818183,35.1505,129.1075,red
35.15,129.108,8,8,100.0,35.1505,129.1085,red
35.15,129.109,7,5,71.42857142857143,35.1505,129.1095,red
35.15,129.11,8,5,62.5,35.1505,129.1105,yellow
35.15,129.111,2,2,100.0,35.1505,129.11149999999998,red
35.15,129.112,35,20,57.14285714285714,35.1505,129.11249999999998,yellow
35.15,129.113,28,20,71.42857142857143,35.1505,129.1135,red
35.15,129.114,19,14,73.68421052631578,35.1505,129.1145,red
35.15,129.115,9,5,55.55555555555556,35.1505,129.1155,yellow
35.15,129.116,1,1,100.0,35.1505,129.1165,red
35.151,129.107,2,1,50.0,35.151500000000006,129.1075,yellow
35.151,129.108,10,10,100.0,35.151500000000006,129.1085,red
35.151,129.109,6,5,83.33333333333334,35.151500000000006,129.1095,red
35.151,129.11,15,12,80.0,35.151500000000006,129.1105,red
35.151,129.111,17,13,76.47058823529412,35.151500000000006,129.11149999999998,red
35.151,129.112,27,18,66.66666666666666,35.151500000000006,129.11249999999998,yellow
35.151,129.113,15,11,73.33333333333333,35.151500000000006,129.1135,red
35.151,129.114,31,26,83.87096774193549,35.151500000000006,129.1145,red
35.151,129.115,7,5,71.42857142857143,35.151500000000006,129.1155,red
35.151,129.116,14,9,64.28571428571429,35.151500000000006,129.1165,yellow
